"","beta","r","logm1","logm2","sensrate","prop"
"1",0.389207,0.271326,1.92113,1.36385,0.143224,0.880182
"2",0.438621,0.223908,1.12351,1.39504,0.146187,0.960228
"3",0.40799,0.131049,1.98411,2.27885,0.177676,0.954734
"4",0.415312,0.536417,1.75823,1.04361,0.130888,0.966535
"5",0.415312,0.536417,1.75823,1.04361,0.130888,0.966535
"6",0.400976,0.336055,1.68596,1.45537,0.137723,0.901461
"7",0.401227,0.30439,1.83204,1.62734,0.149724,0.964408
"8",0.426776,0.344804,2.16481,0.942871,0.151932,0.932388
"9",0.420823,0.310303,1.59063,2.95693,0.157858,0.950236
"10",0.426185,0.424339,1.15667,4.40195,0.162125,0.954308
"11",0.40934,0.534289,1.90894,4.84961,0.175219,0.940795
"12",0.379991,0.368285,1.34938,3.88353,0.151764,0.937199
"13",0.385314,0.344933,1.54496,6.00785,0.177851,0.99157
"14",0.402837,0.262875,1.41339,5.24365,0.160654,0.960428
"15",0.449215,0.349646,1.54887,0.867781,0.176302,0.710726
"16",0.435964,0.307621,1.92796,1.33688,0.147429,0.906482
"17",0.427165,0.342866,1.35933,1.38627,0.207004,0.906655
"18",0.419981,0.329628,1.90268,1.24254,0.124922,0.790882
"19",0.418211,0.515334,2.17604,1.47902,0.135208,0.970526
"20",0.430386,0.472678,1.48478,1.14401,0.141834,0.963139
"21",0.513241,0.166019,1.6901,1.27001,0.167622,0.927123
"22",0.429132,0.491368,1.73396,1.24057,0.167775,0.790465
"23",0.393666,0.470026,1.88221,1.37686,0.142897,0.880762
"24",0.409355,0.566576,1.69742,1.00179,0.154707,0.944208
"25",0.348951,0.24113,0.900484,5.07984,0.145916,0.988439
"26",0.461372,0.378097,2.28676,0.705881,0.175238,0.725107
"27",0.383428,0.557132,1.97539,1.80213,0.146641,0.999384
"28",0.344659,0.49997,1.11583,2.31434,0.142906,0.964913
"29",0.354333,0.533691,0.900018,1.89956,0.168041,0.99108
"30",0.419439,0.171141,2.092,1.61688,0.170075,0.711746
"31",0.422297,0.274325,2.38587,1.50128,0.180821,0.79493
"32",0.420216,0.336764,1.94061,2.01913,0.164409,0.781612
"33",0.371682,0.359833,2.59821,3.34721,0.156911,0.822477
"34",0.37607,0.345625,2.01872,2.07774,0.141203,0.96202
"35",0.39382,0.370727,0.975448,1.58916,0.135745,0.983017
"36",0.411435,0.445075,1.11006,2.05776,0.14968,0.955691
"37",0.366446,0.497579,1.9259,3.10905,0.153998,0.945387
"38",0.386016,0.525912,1.3062,1.70825,0.15168,0.951557
"39",0.391954,0.464631,2.19658,4.81761,0.18035,0.817306
"40",0.388453,0.353058,1.89605,2.0262,0.146809,0.897758
"41",0.404384,0.329338,2.36961,1.94524,0.147612,0.807969
"42",0.384033,0.374158,1.48327,2.79448,0.162151,0.904266
"43",0.397387,0.173208,1.32326,1.51098,0.143329,0.858484
"44",0.394764,0.218001,1.7947,1.32879,0.154682,0.866109
"45",0.405697,0.34937,1.24276,3.15574,0.16884,0.89784
"46",0.415987,0.280695,1.55568,1.27613,0.1381,0.985065
"47",0.418935,0.283772,1.59594,1.28089,0.14695,0.981065
"48",0.385771,0.216495,1.10094,2.29729,0.181876,0.7588
"49",0.402913,0.345748,1.99258,1.44375,0.151257,0.937499
"50",0.434202,0.450742,2.39455,1.21544,0.177324,0.898335
"51",0.331663,0.262579,0.722957,3.48048,0.146511,0.807742
"52",0.41602,0.393233,1.84621,1.79173,0.150017,0.999968
"53",0.433427,0.123418,1.65141,2.70793,0.160251,0.964161
"54",0.379032,0.62794,1.30265,0.853416,0.169298,0.887305
"55",0.383185,0.463845,1.21615,3.00225,0.178891,0.95991
"56",0.419947,0.562068,2.61215,2.09167,0.185584,0.967691
"57",0.366489,0.646142,0.943187,1.22891,0.130595,0.899774
"58",0.35992,0.653167,1.21427,1.37087,0.134492,0.89089
"59",0.455583,0.452042,2.18393,2.08891,0.177396,0.882781
"60",0.35427,0.360116,1.41981,2.16057,0.146795,0.960262
"61",0.552026,0.17796,2.18342,0.894866,0.181763,0.80379
"62",0.522938,0.2318,2.22425,0.514913,0.158741,0.726724
"63",0.412854,0.28487,2.40051,1.58206,0.165492,0.999543
"64",0.418407,0.41468,0.73679,1.86346,0.163205,0.978287
"65",0.370744,0.49629,1.59267,1.78197,0.183303,0.897308
"66",0.407471,0.55736,1.23808,1.1875,0.171357,0.847236
"67",0.369106,0.46714,1.41255,2.15751,0.143423,0.950786
"68",0.419551,0.411343,0.658023,1.64224,0.148679,0.990455
"69",0.385128,0.122706,1.27168,2.56897,0.148312,0.978981
"70",0.392283,0.482652,1.47312,4.24343,0.165284,0.920912
"71",0.447326,0.362171,1.56188,2.72912,0.123315,0.926397
"72",0.357052,0.389063,1.48004,1.93108,0.207146,0.897239
"73",0.386048,0.512012,1.62789,3.28515,0.168758,0.911113
"74",0.333753,0.580551,2.14529,1.54835,0.147998,0.913062
"75",0.375614,0.495978,1.72326,2.79647,0.134073,0.78702
"76",0.371551,0.675603,0.980057,2.20886,0.190104,0.983189
"77",0.443445,0.166346,1.78693,2.14953,0.133614,0.922945
"78",0.443392,0.151696,2.29813,2.45804,0.138515,0.935002
"79",0.458945,0.205499,1.58769,1.78732,0.147275,0.933424
"80",0.410525,0.194963,1.51926,0.96026,0.195607,0.833691
"81",0.396704,0.201323,1.91757,1.26295,0.204374,0.715122
"82",0.327885,0.36865,0.851966,2.32999,0.153417,0.940407
"83",0.42673,0.267878,1.42569,1.89467,0.178909,0.886749
"84",0.381582,0.239152,1.23713,1.77705,0.163894,0.911103
"85",0.377903,0.437536,1.37301,2.15364,0.167141,0.952445
"86",0.377903,0.437536,1.37301,2.15364,0.167141,0.952445
"87",0.380806,0.315522,1.55657,1.58669,0.16133,0.911776
"88",0.376447,0.574488,1.62237,2.83817,0.158337,0.922379
"89",0.457613,0.400079,2.12118,0.674156,0.161568,0.913373
"90",0.410217,0.457282,1.53843,1.09744,0.135771,0.843281
"91",0.42473,0.149476,0.968398,3.246,0.189979,0.980327
"92",0.412102,0.264573,1.11002,4.45894,0.173789,0.985306
"93",0.477495,0.306294,1.67465,1.03975,0.135618,0.829138
"94",0.428055,0.125887,1.55921,3.21959,0.173438,0.970362
"95",0.419558,0.242068,1.48694,1.14117,0.170169,0.903569
"96",0.419558,0.242068,1.48694,1.14117,0.170169,0.903569
"97",0.479814,0.169672,1.84595,1.5346,0.138734,0.981164
"98",0.394524,0.442353,0.866199,3.21547,0.172352,0.935219
"99",0.312503,0.354351,0.896018,2.35513,0.196651,0.905459
"100",0.485984,0.387022,2.469,2.16404,0.138177,0.939088
"101",0.461316,0.306662,1.38175,2.31924,0.131195,0.946959
"102",0.343214,0.457352,2.969,5.98485,0.172548,0.987561
"103",0.377612,0.430763,1.66519,1.96704,0.168539,0.949187
"104",0.327794,0.377071,0.79562,2.63695,0.143315,0.874835
"105",0.474332,0.124621,2.5382,1.25953,0.13932,0.960605
"106",0.406877,0.489799,1.11255,1.68343,0.177971,0.837285
"107",0.465771,0.224781,1.81712,2.66438,0.130866,0.967381
"108",0.443998,0.233555,2.40718,2.00301,0.137521,0.925108
"109",0.444304,0.244991,1.77175,1.52625,0.189412,0.975644
"110",0.449334,0.235153,1.63023,1.61801,0.19576,0.989902
"111",0.430872,0.37152,1.80549,1.40035,0.137194,0.972685
"112",0.406012,0.241394,2.18049,2.25998,0.209025,0.882271
"113",0.400022,0.413808,2.38777,1.93721,0.194857,0.847494
"114",0.345871,0.247532,1.87576,1.73674,0.160536,0.943676
"115",0.435681,0.221948,1.1034,2.08978,0.141187,0.937024
"116",0.43136,0.256331,1.70727,1.09333,0.174605,0.916539
"117",0.482116,0.290536,1.86101,2.33692,0.177745,0.75028
"118",0.49209,0.393636,2.72306,1.13153,0.193776,0.900681
"119",0.507417,0.379833,1.82639,1.39941,0.20407,0.934457
"120",0.435232,0.412714,1.99035,1.86209,0.14581,0.860256
"121",0.374728,0.473413,2.03101,3.2631,0.176301,0.949779
"122",0.410604,0.2968,1.46494,1.24544,0.132315,0.947604
"123",0.414394,0.422029,2.11133,2.33616,0.142875,0.864392
"124",0.390554,0.416198,1.53482,2.38373,0.144214,0.785158
"125",0.476831,0.195347,2.0761,1.68341,0.161586,0.801503
"126",0.451855,0.202049,1.77139,0.943013,0.160389,0.7191
"127",0.404013,0.265795,1.70679,4.54372,0.15691,0.994396
"128",0.417745,0.234666,1.23435,1.0052,0.126691,0.987103
"129",0.401085,0.225679,1.39102,5.45792,0.189051,0.97139
