"","beta","r","logm1","logm2","sensrate","prop"
"1",0.349969,0.37119,1.84508,2.23409,0.166139,0.848316
"2",0.473938,0.889368,2.1714,0.816081,0.161811,0.965933
"3",0.472003,0.907939,3.08911,1.17449,0.143563,0.988009
"4",0.370852,0.225468,0.491357,6.13863,0.18243,0.89347
"5",0.330832,0.199757,0.345818,3.16468,0.161338,0.951471
"6",0.35013,0.735187,1.64093,2.62401,0.146693,0.952137
"7",0.32765,0.505545,1.69908,2.48202,0.192629,0.890763
"8",0.436459,0.417875,1.96194,1.54839,0.192196,0.924118
"9",0.497185,0.340546,1.96373,0.949203,0.17809,0.87928
"10",0.413742,0.325404,1.85369,1.25216,0.125212,0.981623
"11",0.405126,0.366171,1.36474,1.3196,0.14125,0.981391
"12",0.460627,0.210699,1.77923,1.83131,0.115451,0.981451
"13",0.378258,0.173224,1.46093,1.70037,0.141843,0.924555
"14",0.432728,0.543405,2.06052,2.03087,0.146266,0.952622
"15",0.430966,0.425488,2.84455,1.08828,0.153594,0.917361
"16",0.327831,0.32659,0.952031,2.17914,0.156854,0.91114
"17",0.377698,0.262152,1.41746,2.5523,0.1474,0.979883
"18",0.382701,0.18707,1.20511,2.39933,0.168529,0.986212
"19",0.4188,0.431388,1.51682,2.8972,0.186996,0.894452
"20",0.362069,0.384892,1.22009,1.33993,0.191287,0.713071
"21",0.451465,0.277352,2.61334,1.34119,0.128408,0.998122
"22",0.469125,0.296735,2.98639,0.63995,0.135985,0.989611
"23",0.462189,0.238262,2.67336,1.00279,0.121755,0.97614
"24",0.462189,0.238262,2.67336,1.00279,0.121755,0.97614
"25",0.456221,0.234901,1.78533,2.85789,0.161764,0.940965
"26",0.404685,0.234682,2.54668,1.93772,0.15217,0.923377
"27",0.404685,0.234682,2.54668,1.93772,0.15217,0.923377
"28",0.406511,0.239785,2.23587,2.5857,0.156844,0.88752
"29",0.379046,0.207523,1.86532,2.35501,0.160987,0.860025
"30",0.388056,0.505393,1.9499,2.48356,0.181577,0.7785
"31",0.352362,0.413132,1.69404,7.3018,0.15516,0.775354
"32",0.349783,0.585058,1.6486,5.63551,0.150986,0.769927
"33",0.394106,0.139689,1.0267,1.25562,0.192704,0.978495
"34",0.365092,0.227665,0.887183,3.74183,0.162171,0.990773
"35",0.352333,0.278756,0.909689,3.36464,0.18698,0.985906
"36",0.382967,0.242429,0.929675,3.70912,0.152769,0.793818
"37",0.378038,0.314733,1.00339,2.2992,0.150443,0.960246
"38",0.378038,0.314733,1.00339,2.2992,0.150443,0.960246
"39",0.441071,0.358461,2.3901,1.77607,0.171764,0.908549
"40",0.415056,0.390224,1.82154,1.32425,0.182877,0.805779
"41",0.363212,0.285824,1.78377,2.32865,0.141569,0.980868
"42",0.399291,0.392768,1.61146,3.68303,0.144457,0.969849
"43",0.439525,0.389286,1.08077,1.50143,0.159783,0.937534
"44",0.405461,0.229908,1.57778,0.996709,0.127826,0.913111
"45",0.40912,0.331125,1.44704,0.961778,0.139109,0.90933
"46",0.389541,0.372998,1.25986,1.61918,0.162507,0.988072
"47",0.408797,0.225246,1.30131,1.58782,0.157178,0.992677
"48",0.380152,0.275611,1.22841,1.39015,0.149202,0.967902
"49",0.380152,0.275611,1.22841,1.39015,0.149202,0.967902
"50",0.420479,0.377241,1.2282,1.59006,0.168003,0.902531
"51",0.427189,0.301524,1.54542,1.60432,0.156793,0.852275
"52",0.32345,0.431278,1.29311,3.58445,0.147901,0.968056
"53",0.480469,0.201,1.59839,2.21833,0.159939,0.957071
"54",0.397742,0.422426,1.89787,2.34819,0.173946,0.90829
"55",0.350363,0.563226,1.78394,3.67392,0.164482,0.885459
"56",0.351835,0.596159,1.66348,1.68931,0.177286,0.834593
"57",0.40749,0.274739,1.41303,0.948081,0.152717,0.947949
"58",0.470767,0.445459,1.47588,1.4479,0.169712,0.952369
"59",0.383112,0.288912,2.02879,1.94448,0.157096,0.995834
"60",0.497797,0.248119,1.95577,1.2398,0.120837,0.980761
"61",0.523315,0.301696,2.6362,0.737673,0.173543,0.862476
"62",0.491986,0.208108,2.99145,0.818676,0.171728,0.848998
"63",0.472691,0.263091,2.00102,2.22482,0.175491,0.95045
"64",0.45072,0.308044,2.23853,0.836966,0.138033,0.932417
"65",0.398782,0.300819,2.15027,2.05382,0.146623,0.962025
"66",0.40299,0.220438,1.96941,4.4797,0.155534,0.970353
"67",0.391954,0.446703,1.07286,1.02795,0.152224,0.904512
"68",0.377363,0.6607,1.1776,1.4404,0.16621,0.993793
"69",0.367848,0.652565,1.23044,1.84759,0.160902,0.958076
"70",0.461292,0.222029,2.28813,1.24064,0.175196,0.840922
"71",0.536292,0.345121,1.60083,1.21629,0.167064,0.954516
"72",0.563006,0.348333,1.47049,1.21392,0.171512,0.946934
"73",0.561746,0.365813,1.60208,1.01536,0.16908,0.969118
"74",0.488343,0.30187,3.28793,0.816225,0.159618,0.850617
"75",0.440043,0.422141,1.94194,1.03657,0.187391,0.865265
"76",0.449043,0.372949,1.75182,1.85045,0.193304,0.831618
"77",0.417554,0.249825,1.74133,1.66685,0.229914,0.832746
"78",0.376426,0.317909,1.831,1.63449,0.168633,0.6945
"79",0.376426,0.317909,1.831,1.63449,0.168633,0.6945
"80",0.354156,0.453808,1.47553,2.08137,0.167928,0.943289
"81",0.468478,0.345506,2.43528,1.19043,0.150734,0.982668
"82",0.378301,0.265087,1.35964,3.59826,0.157871,0.852263
"83",0.467654,0.426594,1.88868,1.10946,0.154129,0.940865
"84",0.467654,0.426594,1.88868,1.10946,0.154129,0.940865
"85",0.442523,0.390515,1.76224,0.935701,0.148348,0.927316
"86",0.442523,0.390515,1.76224,0.935701,0.148348,0.927316
"87",0.442523,0.390515,1.76224,0.935701,0.148348,0.927316
"88",0.374434,0.263018,1.23859,2.2261,0.142593,0.969374
"89",0.412048,0.480084,1.35337,1.23916,0.175024,0.966662
"90",0.380352,0.435687,1.32501,1.47923,0.162453,0.96864
"91",0.430494,0.440895,1.12485,1.37095,0.197063,0.965799
"92",0.429586,0.246239,2.00178,1.24633,0.143544,0.931269
"93",0.429586,0.246239,2.00178,1.24633,0.143544,0.931269
"94",0.321954,0.447593,0.769401,3.25991,0.175143,0.93065
"95",0.390884,0.198263,1.02132,1.42802,0.145438,0.935756
"96",0.433257,0.601178,1.53642,1.51045,0.197983,0.888417
"97",0.428496,0.272307,2.3771,1.18335,0.152432,0.863596
"98",0.428496,0.272307,2.3771,1.18335,0.152432,0.863596
"99",0.384338,0.37452,1.38112,2.57351,0.134643,0.958352
"100",0.395431,0.371275,2.32707,2.20184,0.147463,0.846534
"101",0.447488,0.357595,1.82652,2.2386,0.154816,0.974641
"102",0.426535,0.221833,1.6644,1.98478,0.139822,0.91243
"103",0.428617,0.397397,1.83855,1.66186,0.139586,0.926136
"104",0.435239,0.391516,1.91444,1.10067,0.161241,0.884352
"105",0.376079,0.21089,2.26872,2.37746,0.151945,0.905052
"106",0.353451,0.613664,2.18282,2.45324,0.164782,0.846086
"107",0.334326,0.55763,1.8631,2.26441,0.179222,0.898834
"108",0.395693,0.681026,1.62231,2.50332,0.167039,0.901355
"109",0.312262,0.78703,1.83288,2.78975,0.161134,0.826269
"110",0.439475,0.160466,1.44604,2.25817,0.128605,0.995514
"111",0.347509,0.561491,1.7629,1.9432,0.173994,0.953907
"112",0.458976,0.421734,2.21349,1.96472,0.187305,0.859559
"113",0.457393,0.295721,1.9524,1.5227,0.135245,0.993733
"114",0.447783,0.36203,2.22597,2.06208,0.150121,0.982298
"115",0.414414,0.14706,1.43396,1.42899,0.144995,0.974563
"116",0.461232,0.308776,1.26573,1.06162,0.14892,0.982859
"117",0.403328,0.494885,1.73176,2.81127,0.181074,0.840979
"118",0.39694,0.343033,1.96881,1.337,0.145459,0.99362
"119",0.392903,0.273966,2.02101,1.92672,0.134103,0.973981
"120",0.417453,0.263382,1.58321,1.8468,0.148334,0.971912
"121",0.369259,0.333795,1.62086,2.91865,0.135665,0.907335
"122",0.360154,0.286462,0.954044,1.16395,0.147877,0.890743
"123",0.359071,0.602534,2.35771,3.17914,0.162076,0.952876
"124",0.396371,0.552468,1.95424,3.68242,0.157537,0.812313
"125",0.402351,0.463835,1.61818,4.10318,0.172803,0.848448
"126",0.432933,0.0937831,1.31564,1.98279,0.167407,0.971558
"127",0.327635,0.575212,0.813047,2.60839,0.14072,0.847219
"128",0.323221,0.572868,0.815505,2.36861,0.158408,0.85648
"129",0.404193,0.572641,2.09999,1.76409,0.157504,0.997462
"130",0.319112,0.252536,0.899682,2.52308,0.160961,0.788415
"131",0.364575,0.467341,1.06354,2.02291,0.159545,0.894475
"132",0.411733,0.132704,1.46414,2.36169,0.153864,0.910263
"133",0.411268,0.57951,1.93417,1.18374,0.165293,0.959556
"134",0.388694,0.423788,1.37242,1.48922,0.156538,0.793109
