# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1614998522
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.600448
# Diagonal elements of inverse mass matrix:
# 0.0352813, 0.057412, 0.236375, 0.0125273, 0.141573, 0.415528

-46.08,0.96771,0.600448,2,3,0,0.349969,1.84508,2.23409,0.166139,1.88596,0.37119,0.0552994,0.312491,0.349969,0.349969,0.349969,0.349969,0.37119,0.282712,0.282712,0.485498,0.485498,0.485498,0.485498,0.848316
-52.5344,0.476242,0.600448,3,7,0,0.473938,2.1714,0.816081,0.161811,3.37943,0.889368,0.0540375,0.264381,0.473938,0.473938,0.473938,0.473938,0.889368,0.276476,0.276476,0.476513,0.476513,0.476513,0.476513,0.965933
-55.5658,0.879955,0.600448,3,7,0,0.472003,3.08911,1.17449,0.143563,4.42363,0.907939,0.0214962,0.326164,0.472003,0.472003,0.472003,0.472003,0.907939,0.249582,0.249582,0.436874,0.436874,0.436874,0.436874,0.988009
-51.4133,0.945497,0.600448,3,7,0,0.370852,0.491357,6.13863,0.18243,2.23932,0.225468,0.226886,0.370052,0.370852,0.370852,0.370852,0.370852,0.225468,0.305707,0.305707,0.517957,0.517957,0.517957,0.517957,0.89347
-49.7582,1,0.600448,3,7,0,0.330832,0.345818,3.16468,0.161338,3.02559,0.199757,0.234111,0.316862,0.330832,0.330832,0.330832,0.330832,0.199757,0.275792,0.275792,0.475523,0.475523,0.475523,0.475523,0.951471
