# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454467434
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,prop
# Adaptation terminated
# Step size = 0.450852
# Diagonal elements of inverse mass matrix:
# 0.048736, 0.139795, 0.323374, 0.0188067, 0.106381, 0.255538

-46.1127,0.959533,0.450852,3,7,0,0.389207,1.92113,1.36385,0.143224,2.12178,0.271326,0.056996,0.289697,0.389207,0.389207,0.389207,0.389207,0.271326,0.249074,0.249074,0.436111,0.436111,0.436111,0.436111,0.880182
-46.5499,0.90099,0.450852,3,7,0,0.438621,1.12351,1.39504,0.146187,3.22459,0.223908,0.142612,0.32992,0.438621,0.438621,0.438621,0.438621,0.223908,0.253511,0.253511,0.442754,0.442754,0.442754,0.442754,0.960228
-47.882,0.9824,0.450852,3,7,0,0.40799,1.98411,2.27885,0.177676,3.0952,0.131049,0.0560995,0.366211,0.40799,0.40799,0.40799,0.40799,0.131049,0.299074,0.299074,0.508703,0.508703,0.508703,0.508703,0.954734
-47.4627,0.978324,0.450852,3,7,0,0.415312,1.75823,1.04361,0.130888,3.39726,0.536417,0.0715787,0.269048,0.415312,0.415312,0.415312,0.415312,0.536417,0.230316,0.230316,0.407587,0.407587,0.407587,0.407587,0.966535
-47.4627,0.861957,0.450852,2,3,0,0.415312,1.75823,1.04361,0.130888,3.39726,0.536417,0.0715787,0.269048,0.415312,0.415312,0.415312,0.415312,0.536417,0.230316,0.230316,0.407587,0.407587,0.407587,0.407587,0.966535
