# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_one_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 959355769
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.193936
# Diagonal elements of inverse mass matrix:
# 1.63706, 0.0746066, 0.472884, 0.0133464, 0.147909, 0.423134

-26.5195,0.344434,0.193936,3,7,0,1.76777,1.46104,0.7036,0.173522,1.04873,0.0524632,0.410114,0.893073,1.76777,1.76777,0.0524632,0.159302,0.159302,0.405816,0.405816,0.649618
-25.7132,0.872666,0.193936,5,31,0,2.0038,1.5856,0.590675,0.161124,1.31887,0.0482034,0.410428,0.89379,2.0038,2.0038,0.0482034,0.148814,0.148814,0.3833,0.3833,0.732562
-25.7132,0.679667,0.193936,4,15,0,2.0038,1.5856,0.590675,0.161124,1.31887,0.0482034,0.410428,0.89379,2.0038,2.0038,0.0482034,0.148814,0.148814,0.3833,0.3833,0.732562
-27.7245,0.843866,0.193936,3,7,0,1.30428,1.73136,0.742767,0.172597,1.45619,0.0655286,0.230915,0.683711,1.30428,1.30428,0.0655286,0.158523,0.158523,0.404164,0.404164,0.766878
-25.3421,0.782573,0.193936,3,7,0,1.69342,1.71858,1.29808,0.167188,1.16523,0.0531918,0.303664,1.23102,1.69342,1.69342,0.0531918,0.15396,0.15396,0.394418,0.394418,0.688149
-26.0366,0.924665,0.193936,4,15,0,2.11928,1.85481,1.95935,0.189695,0.758172,0.0276067,0.331629,1.82057,2.11928,2.11928,0.0276067,0.172788,0.172788,0.433956,0.433956,0.531478
-24.9113,0.548085,0.193936,4,15,0,4.09653,1.77236,1.40165,0.157063,1.30385,0.0106295,0.696132,3.08801,4.09653,4.09653,0.0106295,0.14535,0.14535,0.37574,0.37574,0.728515
-24.2327,0.968789,0.193936,4,15,0,3.14583,2.07538,2.47242,0.132578,1.8978,0.0192558,0.394831,2.88039,3.14583,3.14583,0.0192558,0.124166,0.124166,0.32816,0.32816,0.850102
-24.88,0.907701,0.193936,4,15,0,2.19307,1.59768,0.917732,0.130688,1.61229,0.0411514,0.443801,1.3171,2.19307,2.19307,0.0411514,0.122509,0.122509,0.324339,0.324339,0.800569
-26.1531,0.961182,0.193936,4,15,0,4.13509,1.2814,1.06167,0.140483,1.11261,0.0110815,1.1481,2.70485,4.13509,4.13509,0.0110815,0.131062,0.131062,0.343905,0.343905,0.6713
-28.2236,0.972254,0.193936,5,23,0,4.83724,1.64948,0.884456,0.121759,1.99164,0.00764417,0.92948,2.83976,4.83724,4.83724,0.00764417,0.114638,0.114638,0.305995,0.305995,0.863528
-28.3108,0.981912,0.193936,5,31,0,3.37655,2.6602,2.46665,0.177444,1.03757,0.01372,0.236137,3.08998,3.37655,3.37655,0.01372,0.162592,0.162592,0.412766,0.412766,0.645686
-26.4022,0.895497,0.193936,5,31,0,3.22845,2.55733,2.77103,0.169306,1.35405,0.0215315,0.250243,3.02636,3.22845,3.22845,0.0215315,0.15575,0.15575,0.398253,0.398253,0.741807
-26.2302,0.968723,0.193936,4,15,0,3.54708,3.00768,0.702137,0.173061,1.23824,0.0380184,0.175248,1.78942,3.54708,3.54708,0.0380184,0.158914,0.158914,0.404994,0.404994,0.710105
-24.7684,0.765147,0.193936,4,15,0,1.3336,1.98209,2.08689,0.159389,1.07304,0.0464686,0.183743,1.16813,1.3336,1.3336,0.0464686,0.147335,0.147335,0.380081,0.380081,0.658031
-25.2523,0.916423,0.193936,5,31,0,1.21616,1.70402,2.98506,0.150683,1.72591,0.0544366,0.221281,1.1547,1.21616,1.21616,0.0544366,0.13988,0.13988,0.363677,0.363677,0.821989
-25.3131,0.987846,0.193936,4,15,0,1.20836,1.61533,2.3828,0.148357,1.87623,0.0624459,0.240251,1.09684,1.20836,1.20836,0.0624459,0.137877,0.137877,0.359222,0.359222,0.846834
-29.7577,0.405824,0.193936,5,31,0,4.37348,1.44382,1.06743,0.117197,1.84469,0.0045653,1.03224,2.86948,4.37348,4.37348,0.0045653,0.11059,0.11059,0.296433,0.296433,0.841925
-28.0455,1,0.193936,3,7,0,4.35314,1.12374,2.94104,0.117938,1.61719,0.00548141,1.41504,4.12324,4.35314,4.35314,0.00548141,0.111249,0.111249,0.297995,0.297995,0.801545
-24.1825,0.967637,0.193936,4,15,0,2.91503,1.50898,1.4127,0.157872,1.24671,0.0162043,0.644613,2.20526,2.91503,2.91503,0.0162043,0.146041,0.146041,0.377253,0.377253,0.712551
