# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596530953
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,blood.1,blood.2,blood.3,blood.4,prop
# Adaptation terminated
# Step size = 0.290138
# Diagonal elements of inverse mass matrix:
# 1.20564, 0.0874221, 0.235342, 0.0146673, 0.131796, 0.135036

-32.0019,0.998573,0.290138,2,3,0,0.667879,1.61879,1.43411,0.140312,2.23807,0.275492,0.132333,0.508706,0.667879,0.667879,0.275492,0.130913,0.130913,0.343569,0.343569,0.893335
-32.0019,0.518367,0.290138,3,7,0,0.667879,1.61879,1.43411,0.140312,2.23807,0.275492,0.132333,0.508706,0.667879,0.667879,0.275492,0.130913,0.130913,0.343569,0.343569,0.893335
-33.9938,0.557145,0.290138,3,5,0,0.586891,1.51803,1.32879,0.133207,2.04965,0.283455,0.128614,0.431484,0.586891,0.586891,0.283455,0.124716,0.124716,0.329426,0.329426,0.87122
-34.6969,1,0.290138,3,7,0,0.841259,1.20085,0.761689,0.131179,3.10875,0.170688,0.253167,0.448494,0.841259,0.841259,0.170688,0.122939,0.122939,0.325333,0.325333,0.955343
-32.9254,0.956388,0.290138,3,7,0,0.876972,1.93021,0.935638,0.125155,2.68124,0.197404,0.127264,0.532905,0.876972,0.876972,0.197404,0.11764,0.11764,0.313031,0.313031,0.931522
-36.3373,0.863627,0.290138,4,15,0,0.644383,0.641952,2.15364,0.141502,2.42016,0.407098,0.339116,0.569595,0.644383,0.644383,0.407098,0.131947,0.131947,0.345907,0.345907,0.911093
-36.139,0.116493,0.290138,4,15,0,0.597843,0.829836,2.28614,0.123281,2.96332,0.461429,0.260732,0.537067,0.597843,0.597843,0.461429,0.115985,0.115985,0.309157,0.309157,0.948353
-34.4426,1,0.290138,3,7,0,0.598559,1.0159,1.65385,0.12854,3.04159,0.416055,0.216724,0.484047,0.598559,0.598559,0.416055,0.120622,0.120622,0.319971,0.319971,0.952241
-34.4426,0.335213,0.290138,4,15,0,0.598559,1.0159,1.65385,0.12854,3.04159,0.416055,0.216724,0.484047,0.598559,0.598559,0.416055,0.120622,0.120622,0.319971,0.319971,0.952241
-33.7198,0.377469,0.290138,3,7,0,0.622048,0.898326,1.50516,0.130638,2.96305,0.3487,0.25333,0.483965,0.622048,0.622048,0.3487,0.122464,0.122464,0.324237,0.324237,0.948339
-34.46,0.989169,0.290138,4,15,0,0.598275,1.20012,1.89538,0.175184,0.90097,0.350021,0.180176,0.508378,0.598275,0.598275,0.350021,0.160698,0.160698,0.408772,0.408772,0.593825
-34.5801,0.806794,0.290138,3,7,0,0.618188,1.03297,1.1802,0.185457,1.28907,0.238707,0.220042,0.42827,0.618188,0.618188,0.238707,0.169275,0.169275,0.426714,0.426714,0.724472
-34.5801,0.000482605,0.290138,1,1,0,0.618188,1.03297,1.1802,0.185457,1.28907,0.238707,0.220042,0.42827,0.618188,0.618188,0.238707,0.169275,0.169275,0.426714,0.426714,0.724472
-36.0101,0.314388,0.290138,3,7,0,0.687045,0.769371,1.56555,0.17145,1.00958,0.225843,0.318311,0.543472,0.687045,0.687045,0.225843,0.157558,0.157558,0.402112,0.402112,0.635627
-34.9057,0.414319,0.290138,4,15,0,0.647823,0.61063,1.26086,0.161775,1.51679,0.277608,0.351774,0.464224,0.647823,0.647823,0.277608,0.149367,0.149367,0.384502,0.384502,0.780584
-34.3422,0.618495,0.290138,3,7,0,0.607058,0.668756,1.08766,0.159144,1.56955,0.268867,0.311023,0.402477,0.607058,0.607058,0.268867,0.147126,0.147126,0.379625,0.379625,0.791862
-35.5915,0.692944,0.290138,2,3,0,0.692859,0.631331,1.09194,0.152287,1.39003,0.257181,0.36852,0.46036,0.692859,0.692859,0.257181,0.141258,0.141258,0.366732,0.366732,0.750933
-34.9527,0.670962,0.290138,3,7,0,0.550345,0.684543,1.28483,0.154691,1.98491,0.207927,0.27755,0.398065,0.550345,0.550345,0.207927,0.14332,0.14332,0.371282,0.371282,0.862607
-34.6769,0.446715,0.290138,4,15,0,0.744365,1.39391,1.05322,0.113828,4.49475,0.208786,0.18468,0.484722,0.744365,0.744365,0.208786,0.107589,0.107589,0.289286,0.289286,0.988833
-33.8191,0.960244,0.290138,4,15,0,0.88858,1.93246,2.22792,0.159143,2.45665,0.160671,0.128659,0.792834,0.88858,0.88858,0.160671,0.147126,0.147126,0.379625,0.379625,0.914278
-35.154,0.955751,0.290138,4,15,0,0.896123,1.41382,1.08141,0.125085,1.75467,0.288146,0.217949,0.592232,0.896123,0.896123,0.288146,0.117578,0.117578,0.312886,0.312886,0.827036
-35.0513,0.994047,0.290138,4,15,0,0.676157,1.93427,1.03414,0.164594,1.1913,0.158506,0.0977248,0.435761,0.676157,0.676157,0.158506,0.151762,0.151762,0.389686,0.389686,0.696174
-35.6223,1,0.290138,4,15,0,0.97593,2.29417,0.948878,0.134504,4.09166,0.160063,0.0984177,0.598074,0.97593,0.97593,0.160063,0.12585,0.12585,0.332029,0.332029,0.983288
-35.35,0.986129,0.290138,4,15,0,0.948328,2.16761,0.929675,0.121436,4.90671,0.202509,0.108537,0.57404,0.948328,0.948328,0.202509,0.114352,0.114352,0.305322,0.305322,0.992603
-32.8067,0.996288,0.290138,4,15,0,0.674105,1.46638,1.74658,0.136664,3.37956,0.348244,0.155557,0.556562,0.674105,0.674105,0.348244,0.127736,0.127736,0.336344,0.336344,0.965938
-32.8067,0.074792,0.290138,2,3,0,0.674105,1.46638,1.74658,0.136664,3.37956,0.348244,0.155557,0.556562,0.674105,0.674105,0.348244,0.127736,0.127736,0.336344,0.336344,0.965938
-33.9501,0.79503,0.290138,4,15,0,0.939444,2.15016,1.46264,0.148867,1.43723,0.167824,0.109413,0.721846,0.939444,0.939444,0.167824,0.138316,0.138316,0.360201,0.360201,0.762415
-33.3107,0.926666,0.290138,4,15,0,0.792291,1.34646,1.57696,0.145569,2.43643,0.368147,0.206122,0.628603,0.792291,0.792291,0.368147,0.13547,0.13547,0.35384,0.35384,0.912527
-33.754,1,0.290138,4,15,0,0.836508,1.81317,0.854358,0.156232,1.1002,0.161446,0.136465,0.480526,0.836508,0.836508,0.161446,0.144639,0.144639,0.374182,0.374182,0.667194
-33.4624,0.933611,0.290138,3,7,0,0.861131,1.743,1.40816,0.165759,2.23733,0.160015,0.150694,0.650506,0.861131,0.861131,0.160015,0.152749,0.152749,0.391815,0.391815,0.893257
-37.4298,0.611475,0.290138,4,15,0,0.462367,1.02964,6.00627,0.139001,1.5912,0.305868,0.165127,0.461228,0.462367,0.462367,0.305868,0.129773,0.129773,0.340981,0.340981,0.796319
