"","beta","r","logm1","logm2","sensrate","prop"
"1",0.356155,0.140615,0.56876,1.46318,0.146896,0.265252
"2",0.348823,0.214273,1.13402,1.54366,0.155534,0.246046
"3",0.32605,0.23834,1.08688,5.15639,0.207863,0.228306
"4",0.305353,0.253085,0.207889,4.07623,0.236496,0.235941
"5",0.298177,0.282942,0.538643,3.0706,0.235621,0.265337
"6",0.300165,0.520677,0.287278,3.88544,0.133855,0.294401
"7",0.29754,0.511753,0.250213,3.82089,0.134361,0.294581
"8",0.300981,0.549673,0.204029,2.49156,0.158669,0.334351
"9",0.336397,0.178208,0.849402,4.03203,0.127635,0.31123
"10",0.348008,0.318681,0.896213,2.59352,0.16324,0.290288
"11",0.361245,0.315415,1.33799,2.5468,0.17213,0.308473
"12",0.317661,0.254058,0.0742384,2.82852,0.173905,0.283807
"13",0.322674,0.482309,0.686709,4.68517,0.114761,0.314991
"14",0.280947,0.33822,0.398895,4.07252,0.151731,0.324838
"15",0.314548,0.486888,0.426915,3.14913,0.165371,0.329163
"16",0.322296,0.461591,0.294572,3.4046,0.173828,0.328975
"17",0.310176,0.48967,0.076599,3.33905,0.151155,0.330294
"18",0.294582,0.417791,1.25188,2.74996,0.142918,0.253541
"19",0.322313,0.249929,0.435055,4.5929,0.161624,0.31644
"20",0.312787,0.279021,0.373056,2.68328,0.140018,0.274613
"21",0.292447,0.25518,0.918736,2.11409,0.126347,0.241204
"22",0.328527,0.180997,0.886923,4.56288,0.151015,0.262143
"23",0.362721,0.326193,0.546885,1.70764,0.15045,0.328327
"24",0.317364,0.195439,0.987247,3.93481,0.165507,0.25691
"25",0.299642,0.218203,0.987107,3.10043,0.152541,0.250322
"26",0.342761,0.256154,0.268696,3.39322,0.190122,0.288268
"27",0.333432,0.24575,0.296265,3.4391,0.184921,0.287275
"28",0.333828,0.248471,0.460823,2.5955,0.167056,0.291089
"29",0.30495,0.169538,0.233937,4.10609,0.121807,0.321171
"30",0.290805,0.39656,0.69986,3.01338,0.148209,0.320985
"31",0.284366,0.426833,0.34971,5.65973,0.155921,0.282773
"32",0.328437,0.445493,0.743531,1.98851,0.155731,0.267245
"33",0.294525,0.355785,0.107719,3.37453,0.162642,0.303368
"34",0.293766,0.395898,0.0625183,4.7251,0.144905,0.338414
"35",0.298548,0.39805,0.367245,2.00214,0.153608,0.286097
"36",0.330798,0.274399,0.578187,4.15176,0.179649,0.333479
"37",0.319698,0.222896,0.141585,2.43413,0.125208,0.30522
"38",0.294865,0.316113,0.181748,1.87505,0.142545,0.302039
"39",0.329333,0.352502,0.807398,3.43279,0.154369,0.29619
"40",0.326085,0.352693,0.936161,2.73136,0.151114,0.282049
"41",0.295974,0.539022,0.483425,3.83404,0.168635,0.287864
"42",0.371626,0.314817,1.19159,1.85053,0.154772,0.283854
"43",0.374219,0.264447,0.795424,3.03936,0.134904,0.321005
"44",0.330019,0.408843,0.208742,3.07536,0.165973,0.307056
"45",0.311919,0.220259,0.435424,3.16754,0.11365,0.344157
"46",0.303738,0.583371,0.425643,1.72316,0.106956,0.363804
"47",0.334648,0.333962,0.600653,5.36739,0.173959,0.290407
"48",0.323808,0.261141,1.02935,5.67059,0.144497,0.257223
"49",0.320471,0.563168,1.37068,2.00625,0.158808,0.304693
"50",0.334503,0.138626,0.395925,4.10539,0.12508,0.333134
"51",0.345449,0.214924,1.07919,3.11365,0.150752,0.268751
"52",0.345449,0.214924,1.07919,3.11365,0.150752,0.268751
"53",0.325304,0.354533,0.268798,3.18701,0.142636,0.315046
"54",0.343817,0.423705,0.945285,3.45011,0.141381,0.340002
"55",0.310776,0.155396,0.291824,5.17687,0.154478,0.305498
"56",0.347259,0.277212,0.349557,2.0795,0.165485,0.303297
"57",0.344961,0.258248,0.514653,2.30032,0.171557,0.311006
"58",0.364361,0.195276,0.801153,2.3742,0.182197,0.342688
"59",0.36868,0.176612,0.638444,2.21585,0.167457,0.321288
"60",0.346417,0.161565,0.94578,3.89162,0.136438,0.259536
"61",0.368696,0.227336,0.762508,2.0285,0.147343,0.281111
"62",0.320159,0.350557,0.742885,3.73556,0.191636,0.273828
"63",0.336486,0.390709,0.993786,3.81026,0.18937,0.264645
"64",0.328974,0.414761,0.801021,4.3928,0.188453,0.260081
"65",0.331883,0.287021,0.709499,3.98762,0.190326,0.28606
"66",0.32545,0.298416,0.755268,3.84259,0.186502,0.293525
