# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 1596552506
# output
#   file = outputnotheta_norI2_3jun.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.354679
# Diagonal elements of inverse mass matrix:
# 0.00953172, 0.987204, 0.157232, 0.0161353, 0.0169729, 0.192843

154.595,0.995895,0.354679,3,7,0,0.356155,0.56876,1.46318,0.146896,0.308227,0.140615,0.201665,0.273705,0.356155,0.356155,0.356155,0.356155,0.356155,0.140615,0.254568,0.254568,0.733416,0.733416,0.733416,0.733416,0.733416,0.265252
156.466,0.954327,0.354679,2,3,0,0.348823,1.13402,1.54366,0.155534,0.282424,0.214273,0.112229,0.274315,0.348823,0.348823,0.348823,0.348823,0.348823,0.214273,0.267336,0.267336,0.753356,0.753356,0.753356,0.753356,0.753356,0.246046
155.672,0.981135,0.354679,3,7,0,0.32605,1.08688,5.15639,0.207863,0.259168,0.23834,0.109966,0.324171,0.32605,0.32605,0.32605,0.32605,0.32605,0.23834,0.340139,0.340139,0.845995,0.845995,0.845995,0.845995,0.845995,0.228306
152.624,0.726195,0.354679,3,7,0,0.305353,0.207889,4.07623,0.236496,0.26911,0.253085,0.248037,0.300171,0.305353,0.305353,0.305353,0.305353,0.305353,0.253085,0.376865,0.376865,0.88098,0.88098,0.88098,0.88098,0.88098,0.235941
152.383,0.886914,0.354679,3,7,0,0.298177,0.538643,3.0706,0.235621,0.308344,0.282942,0.173998,0.284344,0.298177,0.298177,0.298177,0.298177,0.298177,0.282942,0.375774,0.375774,0.880039,0.880039,0.880039,0.880039,0.880039,0.265337
156.289,1,0.354679,3,7,0,0.300165,0.287278,3.88544,0.133855,0.348709,0.520677,0.225215,0.294,0.300165,0.300165,0.300165,0.300165,0.300165,0.520677,0.23487,0.23487,0.700216,0.700216,0.700216,0.700216,0.700216,0.294401
156.335,0.994327,0.354679,3,7,0,0.29754,0.250213,3.82089,0.134361,0.348963,0.511753,0.231675,0.291022,0.29754,0.29754,0.29754,0.29754,0.29754,0.511753,0.235645,0.235645,0.70158,0.70158,0.70158,0.70158,0.70158,0.294581
156.31,0.963864,0.354679,3,7,0,0.300981,0.204029,2.49156,0.158669,0.406993,0.549673,0.245431,0.276065,0.300981,0.300981,0.300981,0.300981,0.300981,0.549673,0.271916,0.271916,0.760218,0.760218,0.760218,0.760218,0.760218,0.334351
157.379,0.98047,0.354679,4,15,0,0.336397,0.849402,4.03203,0.127635,0.372848,0.178208,0.143867,0.33043,0.336397,0.336397,0.336397,0.336397,0.336397,0.178208,0.225293,0.225293,0.682957,0.682957,0.682957,0.682957,0.682957,0.31123
158.661,0.997236,0.354679,3,7,0,0.348008,0.896213,2.59352,0.16324,0.342896,0.318681,0.142026,0.321992,0.348008,0.348008,0.348008,0.348008,0.348008,0.318681,0.278542,0.278542,0.769882,0.769882,0.769882,0.769882,0.769882,0.290288
155.767,0.784475,0.354679,3,7,0,0.361245,1.33799,2.5468,0.17213,0.368854,0.315415,0.0947803,0.332948,0.361245,0.361245,0.361245,0.361245,0.361245,0.315415,0.291255,0.291255,0.787575,0.787575,0.787575,0.787575,0.787575,0.308473
156.725,0.771375,0.354679,4,15,0,0.317661,0.0742384,2.82852,0.173905,0.333806,0.254058,0.294933,0.298888,0.317661,0.317661,0.317661,0.317661,0.317661,0.254058,0.293766,0.293766,0.790942,0.790942,0.790942,0.790942,0.790942,0.283807
155.258,0.871757,0.354679,4,11,0,0.322674,0.686709,4.68517,0.114761,0.378323,0.482309,0.162379,0.319696,0.322674,0.322674,0.322674,0.322674,0.322674,0.482309,0.205086,0.205086,0.644008,0.644008,0.644008,0.644008,0.644008,0.314991
155.742,0.993428,0.354679,4,15,0,0.280947,0.398895,4.07252,0.151731,0.392802,0.33822,0.188532,0.276161,0.280947,0.280947,0.280947,0.280947,0.280947,0.33822,0.261742,0.261742,0.744767,0.744767,0.744767,0.744767,0.744767,0.324838
157.174,0.938833,0.354679,4,15,0,0.314548,0.426915,3.14913,0.165371,0.399228,0.486888,0.205249,0.301058,0.314548,0.314548,0.314548,0.314548,0.314548,0.486888,0.28161,0.28161,0.774253,0.774253,0.774253,0.774253,0.774253,0.329163
156.514,0.9227,0.354679,2,3,0,0.322296,0.294572,3.4046,0.173828,0.398948,0.461591,0.240063,0.31159,0.322296,0.322296,0.322296,0.322296,0.322296,0.461591,0.293658,0.293658,0.790797,0.790797,0.790797,0.790797,0.790797,0.328975
156.269,0.96338,0.354679,3,7,0,0.310176,0.076599,3.33905,0.151155,0.400916,0.48967,0.287304,0.299174,0.310176,0.310176,0.310176,0.310176,0.310176,0.48967,0.260891,0.260891,0.74344,0.74344,0.74344,0.74344,0.74344,0.330294
157.317,0.984634,0.354679,3,7,0,0.294582,1.25188,2.74996,0.142918,0.292415,0.417791,0.0842408,0.275749,0.294582,0.294582,0.294582,0.294582,0.294582,0.417791,0.248615,0.248615,0.723699,0.723699,0.723699,0.723699,0.723699,0.253541
157.833,0.619557,0.354679,4,15,0,0.322313,0.435055,4.5929,0.161624,0.38044,0.249929,0.208611,0.319051,0.322313,0.322313,0.322313,0.322313,0.322313,0.249929,0.276205,0.276205,0.766509,0.766509,0.766509,0.766509,0.766509,0.31644
