# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = SIR_typhi_notheta_norI2_jun3_model
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 50
#       term_buffer = 45
#       window = 5
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 6
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = temp.data.R
# init = temp.init.R
# random
#   seed = 2454491356
# output
#   file = outputnotheta_norI2_jun26.csv
#   diagnostic_file =  (Default)
#   refresh = 10
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,beta,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,prop
# Adaptation terminated
# Step size = 0.418136
# Diagonal elements of inverse mass matrix:
# 0.0133717, 0.611689, 0.105808, 0.014638, 0.0164187, 0.28856

156.213,0.925626,0.418136,2,3,0,0.338096,0.507827,1.79896,0.138699,0.332739,0.426173,0.203467,0.282151,0.338096,0.338096,0.338096,0.338096,0.338096,0.426173,0.242246,0.242246,0.713004,0.713004,0.713004,0.713004,0.713004,0.283043
154.332,0.774387,0.418136,3,7,0,0.30888,0.291614,1.95963,0.135512,0.319821,0.17604,0.230751,0.265356,0.30888,0.30888,0.30888,0.30888,0.30888,0.17604,0.237402,0.237402,0.704654,0.704654,0.704654,0.704654,0.704654,0.273721
156.727,0.915857,0.418136,2,3,0,0.336146,0.281463,3.53529,0.161182,0.325898,0.146433,0.253682,0.326347,0.336146,0.336146,0.336146,0.336146,0.336146,0.146433,0.275566,0.275566,0.765579,0.765579,0.765579,0.765579,0.765579,0.278121
158.004,0.984319,0.418136,3,7,0,0.342133,1.2049,2.81671,0.171748,0.322184,0.212143,0.102545,0.321673,0.342133,0.342133,0.342133,0.342133,0.342133,0.212143,0.290714,0.290714,0.786845,0.786845,0.786845,0.786845,0.786845,0.275435
157.92,0.97215,0.418136,4,15,0,0.324569,0.432693,2.46605,0.168445,0.301002,0.384178,0.210567,0.297007,0.324569,0.324569,0.324569,0.324569,0.324569,0.384178,0.286012,0.286012,0.780412,0.780412,0.780412,0.780412,0.780412,0.259924
