# stan_version_major = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# stan_version_minor = 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# stan_version_patch = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# model = SIR_typhi_notheta_norI2_apr16_2017_model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# method = sample (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#     num_samples = 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#     num_warmup = 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#     save_warmup = 0 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#     thin = 1 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#     adapt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       engaged = 1 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       gamma = 0.050000000000000003 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       delta = 0.80000000000000004 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       kappa = 0.75 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       t0 = 10 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       init_buffer = 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       term_buffer = 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       window = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#     algorithm = hmc (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#       hmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#         engine = nuts (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#           nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#             max_depth = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#         metric = diag_e (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#         stepsize = 0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#         stepsize_jitter = 0 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# id = 0 (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   file = temp.data.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# init = temp.init.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   seed = 2169545671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   file = output_apr_2017_mac.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   diagnostic_file =  (Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#   refresh = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,R0,logm1,logm2,sensrate,logprop,r,params.1,params.2,params.3,params.4,params.5,params.6,params.7,params.8,params.9,blood.1,blood.2,blood.3,blood.4,blood.5,blood.6,blood.7,blood.8,prop
# Adaptation terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Step size = 0.464262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Diagonal elements of inverse mass matrix:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 0.501615,0.120071,0.243412,0.0151765,0.0200817,0.344187,,,,,,,,,,,,,,,,,,,,,,,,,
32.4557,0.657114,0.464262,3,15,0,-27.4562,1.04614,2.55645,0.543018,0.121262,0.142803,0.383742,0.0203253,0.109777,0.261992,0.261992,0.261992,0.261992,0.261992,0.261992,0.383742,0.384333,0.384333,0.384333,0.664241,0.664241,0.664241,0.664241,0.664241,0.133075
37.9584,0.986599,0.464262,3,7,0,-29.8986,1.22616,1.80266,0.334502,0.138583,0.181508,0.34597,0.0506244,0.0873032,0.307075,0.307075,0.307075,0.307075,0.307075,0.307075,0.34597,0.425544,0.425544,0.425544,0.712705,0.712705,0.712705,0.712705,0.712705,0.165989
36.9061,0.817156,0.464262,2,7,0,-34.4953,1.18577,1.41142,0.28321,0.135431,0.188343,0.242404,0.0723985,0.0732421,0.296961,0.296961,0.296961,0.296961,0.296961,0.296961,0.242404,0.418257,0.418257,0.418257,0.70444,0.70444,0.70444,0.70444,0.70444,0.17167
36.9367,0.983435,0.464262,4,15,0,-33.7301,1.16825,1.49201,0.599673,0.136373,0.192178,0.300875,0.0658054,0.131953,0.292574,0.292574,0.292574,0.292574,0.292574,0.292574,0.300875,0.420443,0.420443,0.420443,0.706933,0.706933,0.706933,0.706933,0.706933,0.17484
33.1824,0.542354,0.464262,3,7,0,-28.7338,1.41091,2.25861,0.35099,0.145048,0.140785,0.153479,0.036923,0.104593,0.353345,0.353345,0.353345,0.353345,0.353345,0.353345,0.153479,0.440208,0.440208,0.440208,0.728944,0.728944,0.728944,0.728944,0.728944,0.131324
36.1743,1,0.464262,3,7,0,-33.0109,1.16566,2.22337,0.356114,0.118724,0.203668,0.542127,0.031599,0.0874628,0.291925,0.291925,0.291925,0.291925,0.291925,0.291925,0.542127,0.37805,0.37805,0.37805,0.656482,0.656482,0.656482,0.656482,0.656482,0.184267
35.4378,0.928686,0.464262,3,7,0,-34.1927,1.0807,2.15672,0.285027,0.136253,0.191016,0.289406,0.0313147,0.067122,0.270646,0.270646,0.270646,0.270646,0.270646,0.270646,0.289406,0.420164,0.420164,0.420164,0.706616,0.706616,0.706616,0.706616,0.706616,0.17388
35.9097,0.980717,0.464262,2,7,0,-33.8978,1.08721,1.74667,0.305373,0.142872,0.181377,0.282,0.0474728,0.0716506,0.272279,0.272279,0.272279,0.272279,0.272279,0.272279,0.282,0.435317,0.435317,0.435317,0.723585,0.723585,0.723585,0.723585,0.723585,0.165879
33.7707,0.911603,0.464262,5,31,0,-31.2044,1.09385,3.79866,0.26871,0.143063,0.151778,0.258658,0.00613651,0.0645502,0.273942,0.273942,0.273942,0.273942,0.273942,0.273942,0.258658,0.435747,0.435747,0.435747,0.724059,0.724059,0.724059,0.724059,0.724059,0.140821
